year,era,round,race_name,team,driver,teammate,pair,lap_number,lap_time_s,compound,tyre_life,stint,position
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,25.0,97.994,HARD,16.0,2.0,12.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,26.0,98.133,HARD,17.0,2.0,12.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,29.0,95.854,HARD,2.0,3.0,18.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,30.0,95.632,HARD,3.0,3.0,18.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,31.0,96.202,HARD,4.0,3.0,15.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,32.0,95.821,HARD,5.0,3.0,15.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,33.0,96.349,HARD,6.0,3.0,13.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,34.0,96.332,HARD,7.0,3.0,13.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,35.0,96.242,HARD,8.0,3.0,12.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,36.0,96.086,HARD,9.0,3.0,11.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,37.0,95.987,HARD,10.0,3.0,10.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,38.0,96.364,HARD,11.0,3.0,10.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,39.0,96.353,HARD,12.0,3.0,10.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,40.0,96.485,HARD,13.0,3.0,10.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,41.0,96.322,HARD,14.0,3.0,10.0
